miRNA, newbatch_Clontech_trimmed.1_R1.fq, newbatch_Clontech_trimmed.2_R1.fq, Illumina_trimmed.11.fq, NEB_trimmed.11.fq, NEXT_trimmed.11.fq, directional_deduped_lib_align_seed15_acc_11_bam2fastq.fq, Five_double_acc_11.fq, mm0_Clontech_trimmed.1_R1.fq, mm0_Clontech_trimmed.2_R1.fq, mm0_Clontech_trimmed.3_R1.fq, mm0_Clontech_trimmed.4_R1.fq, mm0_Clontech_trimmed.5_R1.fq, mm0_Clontech_trimmed.6_R1.fq, mm0_Clontech_trimmed.7_R1.fq, mm0_Clontech_trimmed.8_R1.fq, mm0_Clontech_trimmed.9_R1.fq, mm0_Clontech_trimmed.10_R1.fq, mm0_Clontech_trimmed.11_R1.fq, mm0_Clontech_trimmed.12_R1.fq, mm0_Clontech_trimmed.13_R1.fq, mm0_Clontech_trimmed.14_R1.fq, mm0_Clontech_trimmed.15_R1.fq, mm0_Clontech_trimmed.16_R1.fq, mm0_Clontech_trimmed.17_R1.fq, mm0_Clontech_trimmed.18_R1.fq, mm0_Illumina_trimmed.1_R1.fq, mm0_Illumina_trimmed.2_R1.fq, mm0_Illumina_trimmed.3_R1.fq, mm0_Illumina_trimmed.4_R1.fq, mm0_Illumina_trimmed.5_R1.fq, mm0_Illumina_trimmed.6_R1.fq, mm0_Illumina_trimmed.7_R1.fq, mm0_Illumina_trimmed.8_R1.fq, mm0_Illumina_trimmed.9_R1.fq, mm0_NEB_trimmed.1_R1.fq, mm0_NEB_trimmed.2_R1.fq, mm0_NEB_trimmed.3_R1.fq, mm0_NEB_trimmed.4_R1.fq, mm0_NEB_trimmed.5_R1.fq, mm0_NEB_trimmed.6_R1.fq, mm0_NEB_trimmed.7_R1.fq, mm0_NEB_trimmed.8_R1.fq, mm0_NEB_trimmed.9_R1.fq, mm0_NEB_trimmed.10_R1.fq, mm0_NEB_trimmed.11_R1.fq, mm0_NEB_trimmed.12_R1.fq, mm0_NEXT_trimmed.1_R1.fq, mm0_NEXT_trimmed.2_R1.fq, mm0_NEXT_trimmed.3_R1.fq, mm0_NEXT_trimmed.4_R1.fq, mm0_NEXT_trimmed.5_R1.fq, mm0_NEXT_trimmed.6_R1.fq, mm0_NEXT_trimmed.7_R1.fq, mm0_NEXT_trimmed.8_R1.fq, mm0_NEXT_trimmed.9_R1.fq, mm0_NEXT_trimmed.10_R1.fq, mm0_NEXT_trimmed.11_R1.fq, mm0_NEXT_trimmed.12_R1.fq, mm0_NEXT_trimmed.13_R1.fq, mm0_NEXT_trimmed.14_R1.fq, mm0_NEXT_trimmed.15_R1.fq, mm0_NEXT_trimmed.16_R1.fq, mm0_NEXT_trimmed.17_R1.fq, mm0_NEXT_trimmed.18_R1.fq, directional_deduped_lib_align_seed15_1_bam2fastq.fq, directional_deduped_lib_align_seed15_2_bam2fastq.fq, directional_deduped_lib_align_seed15_3_bam2fastq.fq, directional_deduped_lib_align_seed15_4_bam2fastq.fq, directional_deduped_lib_align_seed15_5_bam2fastq.fq, directional_deduped_lib_align_seed15_6_bam2fastq.fq, directional_deduped_lib_align_seed15_7_bam2fastq.fq, directional_deduped_lib_align_seed15_8_bam2fastq.fq, directional_deduped_lib_align_seed15_9_bam2fastq.fq, directional_deduped_lib_align_seed15_10_bam2fastq.fq, directional_deduped_lib_align_seed15_11_bam2fastq.fq, directional_deduped_lib_align_seed15_12_bam2fastq.fq, directional_deduped_lib_align_seed15_13_bam2fastq.fq, directional_deduped_lib_align_seed15_14_bam2fastq.fq, directional_deduped_lib_align_seed15_15_bam2fastq.fq, directional_deduped_lib_align_seed15_16_bam2fastq.fq, directional_deduped_lib_align_seed15_17_bam2fastq.fq, directional_deduped_lib_align_seed15_18_bam2fastq.fq, Five_double_1.fq, Five_double_2.fq, Five_double_3.fq, Five_double_4.fq, Five_double_5.fq, Five_double_6.fq, Five_double_7.fq, Five_double_8.fq, Five_double_9.fq, Five_double_10.fq, Five_double_11.fq, Five_double_12.fq, Five_double_13.fq, Five_double_14.fq, Five_double_15.fq, Five_double_16.fq, Five_double_17.fq, Five_double_18.fq
hsa-miR-1273a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1273c, 240, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 35, 63, 28, 40, 83, 62, 104, 4, 0, 0, 11, 7, 0, 24, 0, 0, 30, 0, 0, 85, 21, 31, 0, 30, 42, 0, 0, 0, 7, 3, 0, 0, 0, 0, 9, 0, 0, 11, 5, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1273d, 119, 60, 0, 59, 33, 4, 2, 0, 51, 93, 0, 84, 0, 0, 123, 141, 0, 130, 0, 62, 105, 88, 113, 123, 128, 14, 0, 0, 0, 0, 0, 13, 19, 0, 70, 97, 41, 0, 87, 76, 169, 124, 95, 153, 195, 223, 0, 42, 40, 101, 33, 47, 105, 0, 152, 141, 125, 80, 306, 180, 136, 132, 127, 183, 0, 0, 0, 13, 3, 0, 11, 0, 19, 12, 19, 11, 14, 21, 8, 18, 16, 17, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1273e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 61, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 50, 29, 0, 0, 0, 0, 59, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1273f, 190, 91, 0, 63, 58, 6, 0, 127, 114, 121, 67, 185, 120, 255, 167, 217, 104, 195, 107, 93, 167, 188, 210, 175, 170, 0, 0, 11, 13, 0, 19, 0, 0, 0, 126, 111, 51, 49, 100, 141, 201, 158, 180, 226, 208, 350, 0, 27, 16, 145, 0, 41, 166, 193, 234, 161, 131, 95, 360, 194, 236, 173, 194, 190, 0, 3, 0, 17, 0, 0, 7, 15, 21, 22, 24, 13, 27, 11, 22, 17, 24, 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 4, 0, 4, 0, 3, 2, 0, 8
hsa-miR-1273g-3p, 635, 329, 0, 254, 164, 14, 3, 616, 586, 595, 265, 792, 539, 920, 689, 937, 411, 699, 309, 380, 608, 583, 661, 1058, 836, 61, 47, 41, 58, 46, 58, 0, 73, 66, 312, 271, 141, 121, 292, 371, 494, 371, 375, 418, 440, 700, 0, 71, 77, 320, 141, 174, 396, 508, 526, 545, 480, 399, 1184, 555, 682, 428, 589, 552, 0, 4, 5, 43, 16, 13, 15, 39, 44, 62, 54, 35, 50, 38, 63, 46, 67, 59, 0, 0, 0, 6, 0, 0, 0, 0, 8, 6, 5, 7, 16, 0, 9, 8, 0, 12
hsa-miR-1273g-5p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1273h-3p, 34, 0, 0, 70, 44, 12, 0, 0, 0, 15, 0, 0, 23, 38, 25, 27, 0, 50, 0, 0, 0, 0, 22, 30, 28, 12, 13, 6, 13, 8, 19, 6, 17, 17, 94, 97, 28, 33, 69, 88, 131, 75, 77, 130, 125, 127, 0, 0, 18, 55, 9, 29, 69, 116, 87, 94, 80, 47, 164, 105, 87, 79, 104, 100, 0, 0, 2, 16, 4, 4, 8, 19, 25, 31, 22, 17, 28, 20, 27, 26, 39, 39, 0, 0, 0, 0, 0, 0, 6, 7, 0, 0, 5, 0, 8, 3, 3, 0, 3, 4
hsa-miR-1273h-5p, 29, 0, 0, 30, 35, 6, 0, 0, 0, 0, 0, 0, 0, 46, 37, 26, 16, 0, 11, 18, 28, 40, 40, 37, 23, 12, 0, 0, 7, 0, 7, 0, 0, 0, 35, 47, 0, 0, 30, 45, 62, 56, 47, 52, 84, 96, 0, 20, 0, 37, 14, 9, 60, 114, 66, 62, 46, 57, 161, 78, 58, 54, 81, 83, 0, 0, 0, 6, 3, 2, 7, 10, 14, 13, 9, 9, 19, 12, 9, 10, 14, 18, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
hsa-miR-1275, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1276, 0, 0, 0, 10, 13, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 2, 0, 0, 0, 4, 0, 16, 0, 0, 15, 7, 0, 24, 17, 17, 16, 28, 0, 0, 0, 0, 0, 5, 3, 0, 13, 19, 18, 4, 43, 22, 34, 14, 34, 13, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4, 6, 3, 7, 9, 11, 8, 12, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0
hsa-miR-1277-3p, 0, 0, 0, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8, 26, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 7, 7, 24, 18, 14, 22, 18, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1277-5p, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 0, 12, 13, 11, 6, 25, 8, 24, 15, 5, 20, 39, 50, 75, 58, 51, 110, 117, 136, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10, 0, 17, 19, 15, 17, 16, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 13, 10, 6, 11, 10, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1278, 0, 0, 0, 53, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 4, 65, 37, 11, 16, 47, 64, 92, 74, 66, 134, 112, 163, 0, 0, 0, 0, 0, 0, 5, 28, 16, 24, 26, 3, 34, 32, 24, 19, 40, 53, 0, 0, 0, 0, 0, 0, 0, 5, 4, 10, 10, 3, 8, 11, 8, 10, 17, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3, 2
hsa-miR-1279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-128-1-5p, 59, 33, 3, 196, 285, 115, 16, 18, 26, 22, 8, 30, 18, 68, 60, 42, 31, 74, 40, 30, 63, 52, 68, 67, 42, 175, 203, 138, 235, 160, 261, 98, 219, 229, 165, 125, 54, 75, 189, 259, 445, 386, 312, 508, 470, 682, 116, 80, 99, 338, 173, 99, 596, 859, 742, 1022, 524, 509, 1563, 849, 804, 714, 746, 719, 19, 16, 21, 122, 66, 29, 103, 191, 214, 343, 210, 196, 326, 263, 254, 274, 313, 286, 4, 2, 6, 23, 14, 7, 28, 41, 37, 44, 24, 28, 69, 52, 35, 37, 39, 44
hsa-miR-128-2-5p, 180, 119, 0, 54, 39, 18, 0, 112, 91, 117, 48, 115, 79, 211, 168, 107, 65, 197, 83, 95, 136, 143, 153, 182, 142, 48, 42, 52, 47, 28, 41, 30, 35, 24, 107, 89, 45, 15, 70, 97, 91, 79, 64, 121, 110, 148, 32, 64, 38, 105, 43, 32, 115, 195, 131, 90, 125, 58, 228, 126, 104, 89, 112, 103, 5, 7, 11, 40, 21, 9, 23, 61, 44, 41, 44, 32, 56, 48, 41, 34, 54, 51, 0, 3, 0, 0, 2, 0, 6, 6, 11, 4, 9, 0, 5, 9, 4, 5, 4, 7
hsa-miR-128-3p, 17689, 9703, 446, 530708, 240701, 5471, 11925, 26429, 23621, 21936, 9489, 25485, 17173, 34252, 25191, 21076, 14522, 29866, 13039, 17323, 26466, 26675, 29280, 25896, 26050, 31111, 23617, 22227, 27869, 20714, 25272, 10498, 22334, 21718, 1086741, 1062266, 346388, 270562, 758568, 933137, 1559102, 1310002, 1075639, 1757034, 1981238, 2462817, 153571, 153003, 97563, 294572, 164553, 124880, 571299, 701132, 599111, 739451, 499355, 341210, 1630781, 887609, 761258, 668542, 763287, 728391, 3944, 3475, 3266, 4389, 3564, 4213, 5732, 5035, 5359, 5517, 5109, 4499, 7338, 6194, 5920, 6007, 5954, 5966, 7500, 7445, 4760, 14397, 7946, 5865, 27816, 33783, 29197, 36163, 24148, 16385, 79431, 43257, 36937, 32569, 36816, 35682
hsa-miR-1281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0
hsa-miR-1282, 50, 25, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 26, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1283, 25, 27, 0, 5, 8, 4, 0, 33, 38, 14, 9, 35, 21, 27, 28, 27, 23, 38, 25, 22, 30, 32, 35, 27, 33, 4, 2, 0, 3, 2, 6, 0, 2, 5, 8, 4, 0, 0, 7, 11, 21, 20, 23, 34, 42, 43, 0, 0, 0, 7, 0, 0, 20, 26, 10, 9, 5, 9, 92, 26, 32, 25, 31, 36, 0, 0, 0, 4, 0, 0, 5, 9, 3, 4, 3, 5, 18, 6, 9, 11, 15, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2
hsa-miR-1284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 0, 16, 8, 0, 10, 11, 27, 23, 26, 28, 12, 30, 0, 0, 0, 3, 4, 15, 27, 0, 14, 16, 17, 8, 59, 34, 21, 20, 24, 24, 0, 0, 0, 0, 3, 3, 8, 0, 9, 7, 7, 5, 10, 10, 7, 7, 9, 7, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 3
hsa-miR-1285-3p, 235, 0, 0, 45, 36, 10, 0, 0, 0, 0, 0, 0, 91, 0, 123, 597, 0, 160, 0, 0, 0, 0, 214, 542, 275, 34, 19, 16, 38, 22, 35, 16, 35, 30, 46, 51, 19, 24, 47, 56, 112, 90, 78, 129, 128, 208, 0, 0, 0, 46, 20, 0, 64, 101, 75, 71, 66, 61, 210, 133, 141, 71, 105, 110, 0, 0, 0, 8, 6, 0, 10, 14, 17, 20, 18, 12, 35, 17, 23, 15, 28, 13, 0, 0, 0, 2, 0, 0, 5, 3, 0, 0, 2, 2, 10, 0, 2, 3, 4, 0
hsa-miR-1286, 0, 0, 0, 5, 14, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6, 6, 9, 9, 13, 9, 5, 12, 6, 0, 0, 0, 0, 0, 18, 13, 7, 15, 22, 26, 35, 0, 15, 0, 9, 0, 0, 0, 0, 0, 19, 0, 14, 41, 32, 9, 9, 11, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 5, 8, 2, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0
hsa-miR-1287-3p, 10, 0, 0, 10, 0, 0, 0, 0, 5, 0, 0, 5, 7, 9, 17, 12, 7, 16, 0, 5, 14, 21, 12, 13, 11, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 0, 4, 14, 10, 13, 17, 22, 31, 25, 0, 0, 0, 0, 0, 0, 0, 18, 6, 23, 18, 23, 18, 7, 4, 9, 14, 10, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7, 6, 4, 4, 0, 3, 2, 8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
hsa-miR-1287-5p, 22, 14, 0, 228, 71, 25, 6, 7, 6, 0, 4, 10, 0, 21, 23, 21, 7, 20, 12, 14, 16, 17, 15, 22, 20, 27, 29, 29, 26, 29, 54, 20, 48, 52, 95, 134, 37, 85, 184, 287, 486, 360, 318, 571, 583, 752, 50, 7, 8, 105, 61, 96, 223, 263, 318, 424, 217, 170, 757, 431, 405, 412, 442, 437, 9, 5, 4, 51, 36, 23, 33, 71, 105, 159, 96, 72, 174, 137, 122, 168, 186, 193, 2, 0, 0, 9, 0, 3, 9, 13, 24, 18, 7, 8, 24, 27, 35, 23, 24, 23
hsa-miR-1288-3p, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19, 11, 7, 9, 0, 33, 17, 17, 36, 35, 41, 0, 0, 0, 0, 0, 0, 0, 19, 0, 13, 0, 0, 22, 15, 13, 0, 17, 24, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 4, 0, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
hsa-miR-1288-5p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 21, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-129-1-3p, 104, 34, 0, 647, 781, 322, 36, 121, 118, 115, 38, 142, 80, 139, 70, 97, 42, 113, 47, 46, 89, 77, 88, 103, 78, 144, 87, 97, 127, 155, 164, 63, 183, 143, 325, 331, 82, 175, 622, 833, 1414, 1375, 1247, 1981, 2221, 3111, 61, 51, 31, 153, 79, 79, 543, 563, 623, 859, 626, 454, 3065, 1618, 1167, 1135, 1391, 1449, 20, 13, 12, 91, 56, 34, 139, 171, 244, 401, 313, 234, 695, 506, 397, 448, 585, 620, 4, 3, 0, 9, 3, 6, 25, 27, 25, 47, 40, 19, 156, 91, 44, 53, 80, 61
hsa-miR-129-2-3p, 371, 164, 0, 903, 2656, 806, 144, 355, 421, 313, 121, 379, 243, 436, 372, 393, 149, 387, 177, 207, 325, 329, 372, 311, 287, 439, 344, 305, 491, 415, 494, 298, 516, 534, 414, 302, 99, 229, 860, 1430, 2086, 2237, 1942, 3230, 3843, 5144, 126, 270, 129, 792, 429, 278, 3131, 3419, 3458, 4350, 2917, 1886, 14339, 6117, 5551, 4793, 5208, 5097, 67, 73, 52, 381, 258, 134, 590, 857, 907, 1217, 1020, 786, 2008, 1406, 1322, 1333, 1427, 1420, 10, 12, 3, 37, 21, 22, 174, 167, 169, 236, 148, 91, 734, 275, 264, 244, 249, 241
hsa-miR-129-5p, 399, 298, 8, 27952, 7750, 1806, 375, 210, 215, 185, 122, 403, 233, 735, 521, 471, 332, 621, 295, 294, 468, 461, 585, 543, 458, 731, 629, 548, 930, 676, 885, 458, 979, 1109, 27542, 28466, 7592, 8295, 24800, 29305, 44640, 39497, 33458, 51372, 55333, 73383, 4674, 4918, 3520, 9930, 5281, 4974, 20520, 25081, 18019, 26706, 18180, 14316, 51754, 34451, 27890, 23422, 26822, 24523, 709, 700, 668, 1901, 1385, 858, 2283, 2951, 2536, 3334, 2697, 2418, 4341, 3802, 3330, 3135, 3361, 3317, 219, 219, 173, 489, 259, 213, 1004, 1229, 915, 1225, 872, 710, 2445, 1668, 1280, 1193, 1279, 1251
hsa-miR-1290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1291, 0, 0, 0, 77, 6, 3, 0, 0, 0, 0, 0, 16, 0, 29, 0, 0, 12, 20, 0, 0, 14, 0, 21, 25, 0, 4, 4, 5, 3, 5, 2, 0, 7, 4, 44, 36, 25, 19, 65, 59, 124, 101, 50, 121, 129, 188, 12, 0, 0, 14, 7, 0, 45, 32, 12, 27, 32, 25, 84, 40, 49, 43, 58, 46, 3, 0, 0, 3, 2, 0, 4, 7, 5, 11, 14, 9, 17, 13, 16, 21, 23, 21, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 3, 0, 3, 4, 0, 2
hsa-miR-1292-3p, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 29, 6, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 21, 0, 0, 0, 39, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-1292-5p, 22, 7, 0, 30, 48, 18, 0, 6, 10, 0, 6, 6, 0, 22, 18, 10, 8, 15, 6, 10, 17, 17, 15, 15, 12, 0, 0, 4, 0, 7, 8, 0, 7, 0, 85, 56, 14, 21, 54, 76, 106, 69, 81, 112, 144, 160, 65, 22, 22, 87, 41, 38, 160, 190, 124, 140, 94, 69, 276, 159, 105, 160, 92, 103, 8, 8, 7, 38, 19, 12, 32, 61, 52, 66, 43, 36, 64, 59, 51, 61, 47, 58, 4, 0, 0, 0, 4, 3, 8, 9, 13, 5, 0, 0, 14, 8, 7, 5, 5, 6
hsa-miR-1293, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
